Mental demand .Mouse;Mental demand - Touchpad;Physical demand - Mouse;Physical demand - Touchpad;Frustration - Mouse;Frustration - Touchpad;Percieved performance - Mouse;Percieved performance - Touchpad;Effor - Mouse;Effort - Touchpad
3;6;12;6;5;7;19;15;1;4
4;7;3;8;3;9;12;7;12;17
3;7;2;9;2;8;19;10;4;12
2;6;3;7;2;10;18;14;9;5
3;5;3;8;2;6;18;16;4;9
2;3;1;1;8;12;12;12;7;9
2;2;8;4;5;15;20;15;2;8
1;2;2;3;2;5;19;15;2;5
3;4;3;4;3;5;17;14;2;4
6;4;6;4;12;4;8;12;10;4
2;4;3;9;12;17;16;4;8;15
2;3;2;5;4;3;18;17;5;7
2;2;2;2;2;4;16;13;5;5
3;2;3;4;5;6;12;15;4;9
2;5;5;8;1;10;20;15;2;9
2;4;3;10;3;15;16;5;2;16
3;6;5;11;12;19;18;13;10;16
2;4;4;5;1;2;21;20;10;12
3;5;4;8;2;6;16;10;6;10
